experiment,instrument,family,is_selected_family,threshold,n,accuracy,precision,recall,f1,avg_precision,brier,log_loss,roc_auc,tn,fp,fn,tp
baseline,es1s,extra_trees,0,0.5,115.0,0.3565217391304348,0.37362637362637363,0.6666666666666666,0.4788732394366197,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,7.0,57.0,17.0,34.0
baseline,es1s,extra_trees,0,0.55,115.0,0.391304347826087,0.38823529411764707,0.6470588235294118,0.4852941176470588,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,12.0,52.0,18.0,33.0
baseline,es1s,extra_trees,0,0.6,115.0,0.6086956521739131,0.6,0.35294117647058826,0.4444444444444444,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,52.0,12.0,33.0,18.0
baseline,es1s,extra_trees,0,0.65,115.0,0.5565217391304348,0.0,0.0,0.0,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,64.0,0.0,51.0,0.0
baseline,es1s,extra_trees,0,0.7,115.0,0.5565217391304348,0.0,0.0,0.0,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,64.0,0.0,51.0,0.0
baseline,es1s,hist_gradient_boosting,0,0.5,115.0,0.3652173913043478,0.36904761904761907,0.6078431372549019,0.45925925925925926,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,11.0,53.0,20.0,31.0
baseline,es1s,hist_gradient_boosting,0,0.55,115.0,0.3565217391304348,0.35443037974683544,0.5490196078431373,0.4307692307692308,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,13.0,51.0,23.0,28.0
baseline,es1s,hist_gradient_boosting,0,0.6,115.0,0.3826086956521739,0.35714285714285715,0.49019607843137253,0.4132231404958678,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,19.0,45.0,26.0,25.0
baseline,es1s,hist_gradient_boosting,0,0.65,115.0,0.3739130434782609,0.32786885245901637,0.39215686274509803,0.35714285714285715,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,23.0,41.0,31.0,20.0
baseline,es1s,hist_gradient_boosting,0,0.7,115.0,0.43478260869565216,0.36,0.35294117647058826,0.3564356435643564,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,32.0,32.0,33.0,18.0
baseline,es1s,adaboost,1,0.5,115.0,0.4608695652173913,0.45132743362831856,1.0,0.6219512195121951,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,2.0,62.0,0.0,51.0
baseline,es1s,adaboost,1,0.55,115.0,0.3652173913043478,0.3804347826086957,0.6862745098039216,0.48951048951048953,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,7.0,57.0,16.0,35.0
baseline,es1s,adaboost,1,0.6,115.0,0.3565217391304348,0.37362637362637363,0.6666666666666666,0.4788732394366197,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,7.0,57.0,17.0,34.0
baseline,es1s,adaboost,1,0.65,115.0,0.3565217391304348,0.37362637362637363,0.6666666666666666,0.4788732394366197,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,7.0,57.0,17.0,34.0
baseline,es1s,adaboost,1,0.7,115.0,0.6521739130434783,0.9230769230769231,0.23529411764705882,0.375,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,63.0,1.0,39.0,12.0
baseline,es1s,mlp,0,0.5,115.0,0.4782608695652174,0.4563106796116505,0.9215686274509803,0.6103896103896104,0.44480683469727755,0.30590640382847273,0.8232085295372675,0.5091911764705882,8.0,56.0,4.0,47.0
