experiment,n_instruments,mean_roc_auc,median_roc_auc,mean_f1,median_f1,mean_precision,mean_recall,mean_validation_score,share_auc_above_0_5,mean_baseline_precision,complexity
baseline,11,0.5321151797659011,0.5248469868173258,0.5974131761791308,0.6451612903225806,0.5156870003156911,0.744110603383735,0.6281651836585401,0.6363636363636364,0.5018709981381195,0
baseline + side_adjusted,11,0.5136892160222339,0.5182393790849673,0.6132208268884002,0.7027027027027027,0.5016665267652243,0.8107837236378742,0.6118096677950892,0.5454545454545454,0.5018709981381195,1
+ signal_history,11,0.5453327300068124,0.5195148547552517,0.6064403608462224,0.6708860759493671,0.5116028752557138,0.7803172834235397,0.6564245508872454,0.45454545454545453,0.5018709981381195,2
+ vol_stress,11,0.5248245353469603,0.4792958302250687,0.601975264492046,0.7,0.5020766264831402,0.7780824727583252,0.6486200906367459,0.36363636363636365,0.5018709981381195,3
+ trend_scanning,11,0.5259806733553695,0.4837808286785175,0.5611778635455924,0.6144578313253012,0.4825149054877052,0.7444009369631083,0.6495846976124227,0.36363636363636365,0.5018709981381195,4
+ regime_interactions,11,0.5317690084237705,0.5193071864940006,0.6200236292300577,0.6896551724137931,0.5095931358537836,0.8159003322368565,0.6520570992830806,0.45454545454545453,0.5018709981381195,5
