method,date,next_date,gross_return,active_instruments,gross_exposure,turnover,cost_bps,transaction_cost,net_return
confidence_linear,2022-01-03,2022-01-04,0.009224915716549043,8,0.998211679192875,0.998211679192875,0,0.0,0.009224915716549043
confidence_linear,2022-01-04,2022-01-05,0.01562225981320063,7,0.9334407897133283,0.34508675742417594,0,0.0,0.01562225981320063
confidence_linear,2022-01-05,2022-01-06,0.008106407410261293,7,0.9878373270174652,0.8101596838309635,0,0.0,0.008106407410261293
confidence_linear,2022-01-06,2022-01-07,-0.0009732598399806544,7,0.9731136358421483,0.4080914213098582,0,0.0,-0.0009732598399806544
confidence_linear,2022-01-07,2022-01-10,-0.0042635107760802295,8,1.0,0.5747511501277001,0,0.0,-0.0042635107760802295
confidence_linear,2022-01-10,2022-01-11,0.0220763774355601,8,1.0,0.17269341437277003,0,0.0,0.0220763774355601
confidence_linear,2022-01-11,2022-01-12,0.00445262282552844,8,0.9999999999999998,0.5700091124706256,0,0.0,0.00445262282552844
confidence_linear,2022-01-12,2022-01-13,-0.000990991334107365,8,0.9999999999999999,0.28027255270937557,0,0.0,-0.000990991334107365
confidence_linear,2022-01-13,2022-01-14,0.006640745105296417,9,1.0,0.3055171305253617,0,0.0,0.006640745105296417
confidence_linear,2022-01-14,2022-01-17,0.0019209685385688227,8,1.0,0.6883642794929966,0,0.0,0.0019209685385688227
confidence_linear,2022-01-17,2022-01-18,0.002358490566236132,1,0.25,1.25,0,0.0,0.002358490566236132
confidence_linear,2022-01-18,2022-01-19,0.011666343260961514,8,0.964319748030172,1.0817763312324167,0,0.0,0.011666343260961514
confidence_linear,2022-01-19,2022-01-20,-0.0045063059676589915,8,1.0,0.6871394154010384,0,0.0,-0.0045063059676589915
confidence_linear,2022-01-20,2022-01-21,-0.006334578134629366,8,1.0,0.5638896608776965,0,0.0,-0.006334578134629366
confidence_linear,2022-01-21,2022-01-24,0.0033199182161392365,8,1.0,0.48829913243657375,0,0.0,0.0033199182161392365
confidence_linear,2022-01-24,2022-01-25,0.004089080729967163,9,1.0,1.040493655569078,0,0.0,0.004089080729967163
confidence_linear,2022-01-25,2022-01-26,0.007693088962630351,9,1.0,0.1689139663383682,0,0.0,0.007693088962630351
confidence_linear,2022-01-26,2022-01-27,-0.004035530539426999,9,1.0,0.8012279383804946,0,0.0,-0.004035530539426999
confidence_linear,2022-01-27,2022-01-28,0.009481274360233875,9,0.9999999999999998,0.1591655965031815,0,0.0,0.009481274360233875
confidence_linear,2022-01-28,2022-01-31,-0.00598149539110743,9,1.0,1.134292029281002,0,0.0,-0.00598149539110743
confidence_linear,2022-01-31,2022-02-01,0.007074967251943632,9,1.0,0.2831944196150955,0,0.0,0.007074967251943632
confidence_linear,2022-02-01,2022-02-02,-0.01913481211892617,8,1.0,0.26449571073252603,0,0.0,-0.01913481211892617
confidence_linear,2022-02-02,2022-02-03,0.02564263435223525,9,1.0,0.4447057098935765,0,0.0,0.02564263435223525
confidence_linear,2022-02-03,2022-02-04,0.015320252232934534,7,1.0,0.7182340152271909,0,0.0,0.015320252232934534
confidence_linear,2022-02-04,2022-02-07,0.0005268352106476703,6,1.0,0.9886100534741116,0,0.0,0.0005268352106476703
confidence_linear,2022-02-07,2022-02-08,-0.0003866343617906102,6,0.9999999999999999,0.47089855273661213,0,0.0,-0.0003866343617906102
confidence_linear,2022-02-08,2022-02-09,0.005962366736073754,6,0.9544615209255493,0.6153243230347254,0,0.0,0.005962366736073754
confidence_linear,2022-02-09,2022-02-10,0.0071129116130275545,8,0.8659260584570844,1.0045509790712095,0,0.0,0.0071129116130275545
confidence_linear,2022-02-10,2022-02-11,-0.001157384108913832,7,0.9227517487796283,1.1706045778505207,0,0.0,-0.001157384108913832
confidence_linear,2022-02-11,2022-02-14,0.0008488682642987786,7,0.9028538616893488,0.45053157870508775,0,0.0,0.0008488682642987786
confidence_linear,2022-02-14,2022-02-15,0.009293196116487141,6,0.8850078658313905,0.43613446884423,0,0.0,0.009293196116487141
confidence_linear,2022-02-15,2022-02-16,-0.0052842972788322345,8,0.9952049852910543,0.47342539665920685,0,0.0,-0.0052842972788322345
confidence_linear,2022-02-16,2022-02-17,-0.009733776197764167,8,1.0,0.4054549112330217,0,0.0,-0.009733776197764167
confidence_linear,2022-02-17,2022-02-18,-0.002935837477274161,9,0.965235392339562,0.4114631548004688,0,0.0,-0.002935837477274161
confidence_linear,2022-02-18,2022-02-21,0.0029081132532042774,6,0.9803501425866716,0.3311632925252554,0,0.0,0.0029081132532042774
confidence_linear,2022-02-21,2022-02-22,0.0001571931591693998,1,0.25,0.9717982156371359,0,0.0,0.0001571931591693998
confidence_linear,2022-02-22,2022-02-23,-0.008572603347386715,9,1.0,1.1558869593831875,0,0.0,-0.008572603347386715
confidence_linear,2022-02-23,2022-02-24,0.015011988233533627,9,1.0,0.42697065625468145,0,0.0,0.015011988233533627
confidence_linear,2022-02-24,2022-02-25,0.008632810475394475,10,1.0,0.6334839269063455,0,0.0,0.008632810475394475
confidence_linear,2022-02-25,2022-02-28,0.008769164733723503,10,1.0,0.5079810488657568,0,0.0,0.008769164733723503
confidence_linear,2022-02-28,2022-03-01,0.01556028695224628,7,0.984186867654291,0.7154559207394678,0,0.0,0.01556028695224628
confidence_linear,2022-03-01,2022-03-02,0.014552555228655546,8,0.9999999999999999,0.4496508167847365,0,0.0,0.014552555228655546
confidence_linear,2022-03-02,2022-03-03,0.0043545720058449965,7,0.9784344943153311,0.9685700090671653,0,0.0,0.0043545720058449965
confidence_linear,2022-03-03,2022-03-04,0.003213858914848717,9,1.0,0.7921523666594305,0,0.0,0.003213858914848717
confidence_linear,2022-03-04,2022-03-07,-0.011343081215271103,6,0.9396710469866875,0.9505795570922763,0,0.0,-0.011343081215271103
confidence_linear,2022-03-07,2022-03-08,0.0080195442112534,6,0.8914458440042509,0.11245872732532967,0,0.0,0.0080195442112534
confidence_linear,2022-03-08,2022-03-09,0.023260404986322755,6,0.8311377824162658,0.14699293659633306,0,0.0,0.023260404986322755
confidence_linear,2022-03-09,2022-03-10,-0.005460311921162473,6,0.9317416542071343,0.414378978028835,0,0.0,-0.005460311921162473
confidence_linear,2022-03-10,2022-03-11,-0.013543661913052167,5,0.8683028113887747,0.08751321476469423,0,0.0,-0.013543661913052167
confidence_linear,2022-03-11,2022-03-14,-0.006216128668496938,7,0.952077874078933,0.08377506269015834,0,0.0,-0.006216128668496938
confidence_linear,2022-03-14,2022-03-15,0.025172508885679415,6,0.9663301986712456,0.3626511545891462,0,0.0,0.025172508885679415
confidence_linear,2022-03-15,2022-03-16,0.010480853840642129,7,0.9637664185911154,0.43524635047178384,0,0.0,0.010480853840642129
confidence_linear,2022-03-16,2022-03-17,0.0011556963440707815,7,0.8859401547840977,0.2719083622251917,0,0.0,0.0011556963440707815
confidence_linear,2022-03-17,2022-03-18,0.012089905574767511,7,0.8185799414373534,0.45726460123856655,0,0.0,0.012089905574767511
confidence_linear,2022-03-18,2022-03-21,-0.011153137809120441,6,0.808319043763797,0.7119037570038432,0,0.0,-0.011153137809120441
confidence_linear,2022-03-21,2022-03-22,0.003742424673578342,3,0.723142810583994,0.29557835666345467,0,0.0,0.003742424673578342
confidence_linear,2022-03-22,2022-03-23,-0.012324932174844809,5,0.8155586685305524,0.5023703313626149,0,0.0,-0.012324932174844809
